Method,Table Size,Average Reward,Standart Deviation Reward,Winning Rate,Winning Standart Deviation,Training Time
ManySingleFixed,15x15,-198.06,5.353167286756505,8.533333333333333,2.8015868519267593,38.50916600227356
ManySingleFixed,15x15,-200.0,0.0,0.0,0.0,37.39000129699707
ManySingleFixed,15x15,-200.0,0.0,0.0,0.0,37.717379093170166
ManySingleFixed,15x15,-199.47,2.1092889797275287,8.533333333333333,3.18049611783375,37.39816880226135
ManySingleFixed,15x15,-200.0,0.0,0.0,0.0,37.895230531692505
ManySingleExploring,15x15,-200.0,0.0,0.0,0.0,37.54162406921387
ManySingleExploring,15x15,-185.71,17.90547123088359,36.93333333333333,4.5382326466980025,38.15189290046692
ManySingleExploring,15x15,-191.79,17.30450519373495,21.6,4.192055979269997,37.612213134765625
ManySingleExploring,15x15,-199.46,3.6425815021767187,3.0,1.5491933384829668,39.42528033256531
ManySingleExploring,15x15,-200.0,0.0,0.0,0.0,38.72131156921387
ManyMultipleExploring,15x15,-197.83,9.78269390301056,7.733333333333333,2.9544693074880453,64.6271014213562
ManyMultipleExploring,15x15,-200.0,0.0,0.0,0.0,63.65556621551514
ManyMultipleExploring,15x15,-198.87,4.491447428168342,6.066666666666666,2.015495527710797,63.15775227546692
ManyMultipleExploring,15x15,-180.86,24.749553531326576,41.0,3.3466401061363023,63.663734674453735
ManyMultipleExploring,15x15,-196.23,8.281129150061604,16.266666666666666,4.154783053568769,64.33094000816345
ManySingleFixed,8x8,-170.25,30.621356926171643,47.53333333333333,4.5733527696379985,37.30674386024475
ManySingleFixed,8x8,-145.57,23.018364407576836,78.46666666666667,4.730985333122711,37.60778617858887
ManySingleFixed,8x8,-181.42,15.818457573353983,65.06666666666666,4.9053259037725745,37.36293983459473
ManySingleFixed,8x8,-181.88,13.387516573285726,68.93333333333334,3.549021774454977,38.25051760673523
ManySingleFixed,8x8,-134.12,2.108459153030952,100.0,0.0,37.37897968292236
ManySingleExploring,8x8,-152.12,23.881909471396963,82.26666666666667,3.043389922803554,37.899779319763184
ManySingleExploring,8x8,-140.87,22.903560858521544,85.6,3.629508690350986,37.84356379508972
ManySingleExploring,8x8,-187.79,7.671108133770505,84.33333333333333,3.069563848859024,38.568397521972656
ManySingleExploring,8x8,-151.27,14.306540462320024,95.86666666666666,2.5263060428661888,37.70267629623413
ManySingleExploring,8x8,-119.6,1.6552945357246849,100.0,0.0,37.852508783340454
ManyMultipleExploring,8x8,-130.97,26.913734412006075,86.0,3.5402448126271344,62.65979743003845
ManyMultipleExploring,8x8,-186.97,16.103698332991712,54.2,5.878775382679627,63.882742404937744
ManyMultipleExploring,8x8,-161.88,34.50776144579651,55.266666666666666,4.296768811819206,63.74180459976196
ManyMultipleExploring,8x8,-181.1,11.498260738042081,85.0,2.898275349237888,62.876157999038696
ManyMultipleExploring,8x8,-182.04,15.312687549871839,62.4,5.748043145279966,63.11211180686951
